date,league,teamA,teamB,time,status
4/21/2026,الدوري الإنجليزي,برايتون,تشيلسي,21:00,لم تبدأ
4/21/2026,الدوري الإسباني,أتلتيك بلباو,أوساسونا,19:00,لم تبدأ
4/21/2026,الدوري الإسباني,مايوركا,فالنسيا,19:00,لم تبدأ
4/21/2026,الدوري الإسباني,جيرونا,ريال بيتيس,21:30,لم تبدأ
4/21/2026,الدوري الإسباني,ريال مدريد,ألافيس,21:30,لم تبدأ
4/21/2026,كأس إيطاليا,إنتر ميلان,كومو,21:00,لم تبدأ
4/21/2026,كأس فرنسا,لانس,تولوز,21:10,لم تبدأ
4/21/2026,دوري أبطال آسيا للنخبة,شباب الأهلي,ماتشيدا زيلفيا,18:15,لم تبدأ
4/21/2026,دوري القسم الثاني-أ,طنطا,المصرية للاتصالات,15:00,لم تبدأ
4/22/2026,الدوري المصري,المصري,إنبي,17:00,لم تبدأ
4/22/2026,الدوري المصري,سموحة,سيراميكا كليوباترا,20:00,لم تبدأ
4/22/2026,الدوري الإنجليزي,بيرنلي,مانشستر سيتي,21:00,لم تبدأ
4/22/2026,الدوري الإنجليزي,بورنموث,ليدز يونايتد,21:00,لم تبدأ
4/22/2026,الدوري الإسباني,إلتشي,اتلتيكو مدريد,19:00,لم تبدأ
4/22/2026,الدوري الإسباني,ريال سوسيداد,خيتافي,20:00,لم تبدأ
4/22/2026,الدوري الإسباني,برشلونة,سيلتا فيجو,21:30,لم تبدأ
4/22/2026,الدوري الفرنسي,باريس سان جيرمان,نانت,19:00,لم تبدأ
4/22/2026,كأس إيطاليا,أتالانتا,لاتسيو,21:00,لم تبدأ
4/22/2026,كأس فرنسا,ستراسبورج,نيس,21:00,لم تبدأ
4/22/2026,كأس ألمانيا,باير ليفركوزن,بايرن ميونيخ,20:45,لم تبدأ
4/23/2026,الدوري المصري,المقاولون العرب,الاتحاد السكندري,17:00,لم تبدأ
4/23/2026,الدوري المصري,الزمالك,بيراميدز,20:00,لم تبدأ
4/23/2026,الدوري المصري,غزل المحلة,بتروجت,20:00,لم تبدأ
4/23/2026,الدوري الإسباني,ليفانتي,اشبيلية,19:00,لم تبدأ
4/23/2026,الدوري الإسباني,رايو فاييكانو,اسبانيول,20:00,لم تبدأ
4/23/2026,الدوري الإسباني,ريال أوفييدو,فياريال,21:30,لم تبدأ
4/23/2026,كأس ألمانيا,شتوتجارت,فرايبورج,20:45,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,الترسانة,بترول أسيوط,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,ديروط,الانتاج الحربي,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,بروكسي,السكة الحديد,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,أسوان,مسار,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,مالية كفر الزيات,القناة,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,راية الرياضي,المنصورة,15:00,لم تبدأ
4/23/2026,دوري القسم الثاني-أ,الداخلية,بلدية المحلة,15:00,لم تبدأ
4/23/2026,الدوري المصري الممتاز - سيدات,مودرن سبورت,رع,14:30,لم تبدأ
4/23/2026,الدوري السعودي,النجمة,التعاون,18:10,لم تبدأ
4/23/2026,الدوري السعودي,ضمك,الأخدود,20:00,لم تبدأ
4/23/2026,الدوري البرتغالي,سبورتنج لشبونة,تونديلا,,مؤجل
4/23/2026,الدوري البرتغالي,كازا بيا,سبورتينج براجا,21:15,لم تبدأ
4/23/2026,الدوري الإماراتي,اتحاد كلباء,بني ياس,16:00,لم تبدأ
4/23/2026,الدوري الإماراتي,الشــارقة,الوحـــدة,16:00,لم تبدأ
4/23/2026,الدوري الإماراتي,البطائح,العين,18:45,لم تبدأ
4/23/2026,الدوري الإماراتي,شباب الأهلي,خورفكان,18:45,لم تبدأ
